Job No,Job Date,Warehouse,Warehouse Status,Machine,Status,Post Date,Start-Time,End-Time,Elapsed-Time,UOM,Input Qty,Output Qty,Yield Loss Qty,Department,Description,Input Value,Output Value,Expenses,User Defined 1,UserDefined2,Input Units,Output Units,
12710,2/9/2026 12:00:00 AM,Monroe Processing Warehouse                  ,COMPLETED,SHREDDER/GRINDER (2ND SHIFT),Posted,2/10/2026 12:00:00 AM,5:18AM,,18:42:00,LBS    ,997.000,997.000,0.000,Plus Materials                                    ,,179.4600,179.4600,0.0000,,,0,0,
12716,2/9/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,EXTRUDER (3RD SHIFT),Posted,2/10/2026 12:00:00 AM,5:19AM,,18:41:00,LBS    ,3718.000,3718.000,0.000,Plus Materials                                    ,,92.9453,92.9500,0.0000,,,0,0,
12718,2/9/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,GUILLOTINE (3RD SHIFT),Posted,2/10/2026 12:00:00 AM,5:19AM,,18:41:00,LBS    ,6470.000,6470.000,0.000,Plus Materials                                    ,,-452.9000,-452.9000,0.0000,,,0,0,
12723,2/10/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,AUTO-TIE BALER (1ST SHIFT),Posted,2/11/2026 12:00:00 AM,6:02AM,,17:58:00,LBS    ,5252.000,5252.000,0.000,Plus Materials                                    ,,206.7000,206.7100,0.0000,,,5,6,
12727,2/10/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,EXTRUDER (1ST SHIFT),Posted,2/11/2026 12:00:00 AM,6:02AM,,17:58:00,LBS    ,8914.000,8914.000,0.000,Plus Materials                                    ,,445.7000,445.7000,0.0000,,,12,0,
12729,2/10/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,GUILLOTINE (1ST SHIFT),Posted,2/11/2026 12:00:00 AM,6:03AM,,17:57:00,LBS    ,2403.000,7123.000,-4720.000,Plus Materials                                    ,,480.6000,480.6100,0.0000,,,0,0,
12731,2/10/2026 12:00:00 AM,Monroe Processing Warehouse                  ,COMPLETED,SHREDDER/GRINDER (1ST SHIFT),Posted,2/11/2026 12:00:00 AM,6:03AM,,17:57:00,LBS    ,5760.000,5760.000,0.000,Plus Materials                                    ,,67.5316,67.5300,0.0000,,,9,0,
12733,2/10/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,AUTO-TIE BALER (2ND SHIFT),Posted,2/11/2026 12:00:00 AM,6:04AM,,17:56:00,LBS    ,1754.000,1754.000,0.000,Plus Materials                                    ,,175.4000,175.4000,0.0000,,,0,0,
12737,2/10/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,EXTRUDER (2ND SHIFT),Posted,2/11/2026 12:00:00 AM,6:04AM,,17:56:00,LBS    ,7154.000,7154.000,0.000,Plus Materials                                    ,,500.7800,500.7800,0.0000,,,15,0,
12739,2/10/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,GUILLOTINE (2ND SHIFT),Posted,2/11/2026 12:00:00 AM,6:04AM,,17:56:00,LBS    ,5199.000,5199.000,0.000,Plus Materials                                    ,,259.9500,259.9500,0.0000,,,0,0,
12741,2/10/2026 12:00:00 AM,Monroe Processing Warehouse                  ,COMPLETED,SHREDDER/GRINDER (2ND SHIFT),Posted,2/11/2026 12:00:00 AM,6:05AM,,17:55:00,LBS    ,5931.000,5931.000,0.000,Plus Materials                                    ,,59.3100,59.3100,0.0000,,,0,0,
12747,2/10/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,EXTRUDER (3RD SHIFT),Posted,2/11/2026 12:00:00 AM,6:06AM,,17:54:00,LBS    ,5112.000,5112.000,0.000,Plus Materials                                    ,,287.0250,287.0200,0.0000,,,2,0,
