Job No,Job Date,Warehouse,Warehouse Status,Machine,Status,Post Date,Start-Time,End-Time,Elapsed-Time,UOM,Input Qty,Output Qty,Yield Loss Qty,Department,Description,Input Value,Output Value,Expenses,User Defined 1,UserDefined2,Input Units,Output Units,
16537,8/3/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,AUTO-TIE BALER (1ST SHIFT),Posted,8/4/2026 12:00:00 AM,4:53AM,,19:07:00,LBS    ,2009.000,4507.000,-2498.000,Plus Materials                                    ,,0.0000,0.0000,0.0000,,,4,5,
16541,8/3/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,EXTRUDER (1ST SHIFT),Posted,8/4/2026 12:00:00 AM,4:54AM,,19:06:00,LBS    ,7612.000,7612.000,0.000,Plus Materials                                    ,,0.0000,0.0000,0.0000,,,46,0,
16543,8/3/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,GUILLOTINE (1ST SHIFT),Posted,8/4/2026 12:00:00 AM,4:54AM,,19:06:00,LBS    ,6342.000,6342.000,0.000,Plus Materials                                    ,,-164.1500,-164.1500,0.0000,,,0,0,
16544,8/3/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,SHREDDER (1ST SHIFT),Posted,8/4/2026 12:00:00 AM,4:54AM,,19:06:00,LBS    ,1465.000,1465.000,0.000,Plus Materials                                    ,,14.6500,14.6500,0.0000,,,14,0,
16545,8/3/2026 12:00:00 AM,Monroe Processing Warehouse                  ,COMPLETED,SHREDDER/GRINDER (1ST SHIFT),Posted,8/4/2026 12:00:00 AM,4:55AM,,19:05:00,LBS    ,5346.000,5346.000,0.000,Plus Materials                                    ,,558.2087,558.2100,0.0000,,,42,0,
16547,8/3/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,AUTO-TIE BALER (2ND SHIFT),Posted,8/4/2026 12:00:00 AM,4:55AM,,19:05:00,LBS    ,5661.000,9518.000,-3857.000,Plus Materials                                    ,,0.0000,0.0000,0.0000,,,9,0,
16551,8/3/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,EXTRUDER (2ND SHIFT),Posted,8/4/2026 12:00:00 AM,4:56AM,,19:04:00,LBS    ,4708.000,4708.000,0.000,Plus Materials                                    ,,0.0000,0.0000,0.0000,,,0,0,
16553,8/3/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,GUILLOTINE (2ND SHIFT),Posted,8/4/2026 12:00:00 AM,4:56AM,,19:04:00,LBS    ,2861.000,2861.000,0.000,Plus Materials                                    ,,-200.2700,-200.2700,0.0000,,,8,0,
16555,8/3/2026 12:00:00 AM,Monroe Processing Warehouse                  ,COMPLETED,SHREDDER/GRINDER (2ND SHIFT),Posted,8/4/2026 12:00:00 AM,4:56AM,,19:04:00,LBS    ,6183.000,6183.000,0.000,Plus Materials                                    ,,645.6048,645.6000,0.0000,,,0,0,
16557,8/3/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,AUTO-TIE BALER (3RD SHIFT),Posted,8/4/2026 12:00:00 AM,4:57AM,,19:03:00,LBS    ,8355.000,9518.000,-1163.000,Plus Materials                                    ,,0.0000,0.0000,0.0000,,,0,8,
16561,8/3/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,EXTRUDER (3RD SHIFT),Posted,8/4/2026 12:00:00 AM,4:57AM,,19:03:00,LBS    ,4894.000,4894.000,0.000,Plus Materials                                    ,,0.0000,0.0000,0.0000,,,0,0,
16568,8/3/2026 12:00:00 AM,Plus Ryder Midwest                           ,COMPLETED,BOGUS,Posted,8/3/2026 12:00:00 AM,12:52PM,,11:08:00,LBS    ,39848.000,39848.000,0.000,Plus Materials                                    ,,597.7200,597.7200,0.0000,,,84,1,
16569,8/3/2026 12:00:00 AM,Plus Ryder Midwest                           ,COMPLETED,BOGUS,Posted,8/3/2026 12:00:00 AM,12:54PM,,11:06:00,LBS    ,5420.000,5420.000,0.000,Plus Materials                                    ,,81.3021,81.3000,0.0000,,,0,1,
16574,8/4/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,EXTRUDER (1ST SHIFT),Posted,8/5/2026 12:00:00 AM,5:52AM,,18:08:00,LBS    ,6800.000,6800.000,0.000,Plus Materials                                    ,,0.0000,0.0000,0.0000,,,0,0,
16576,8/4/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,GUILLOTINE (1ST SHIFT),Posted,8/5/2026 12:00:00 AM,5:52AM,,18:08:00,LBS    ,3028.000,3028.000,0.000,Plus Materials                                    ,,-60.2000,-60.2100,0.0000,,,0,0,
16577,8/4/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,SHREDDER (1ST SHIFT),Posted,8/5/2026 12:00:00 AM,5:52AM,,18:08:00,LBS    ,1120.000,1387.000,-267.000,Plus Materials                                    ,,35.9000,35.9000,0.0000,,,14,0,
16578,8/4/2026 12:00:00 AM,Monroe Processing Warehouse                  ,COMPLETED,SHREDDER/GRINDER (1ST SHIFT),Posted,8/5/2026 12:00:00 AM,5:52AM,,18:08:00,LBS    ,3887.000,3887.000,0.000,Plus Materials                                    ,,405.8660,405.8600,0.0000,,,0,0,
16580,8/4/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,AUTO-TIE BALER (2ND SHIFT),Posted,8/5/2026 12:00:00 AM,5:53AM,,18:07:00,LBS    ,2846.000,9814.000,-6968.000,Plus Materials                                    ,,12.2500,12.2600,0.0000,,,7,0,
16584,8/4/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,EXTRUDER (2ND SHIFT),Posted,8/5/2026 12:00:00 AM,5:53AM,,18:07:00,LBS    ,1604.000,1604.000,0.000,Plus Materials                                    ,,0.0000,0.0000,0.0000,,,0,0,
16586,8/4/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,GUILLOTINE (2ND SHIFT),Posted,8/5/2026 12:00:00 AM,5:54AM,,18:06:00,LBS    ,8320.000,8320.000,0.000,Plus Materials                                    ,,149.9854,150.0000,0.0000,,,2,0,
16588,8/4/2026 12:00:00 AM,Monroe Processing Warehouse                  ,COMPLETED,SHREDDER/GRINDER (2ND SHIFT),Posted,8/5/2026 12:00:00 AM,5:54AM,,18:06:00,LBS    ,4745.000,4745.000,0.000,Plus Materials                                    ,,495.4545,495.4500,0.0000,,,0,0,
16590,8/4/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,AUTO-TIE BALER (3RD SHIFT),Posted,8/5/2026 12:00:00 AM,5:54AM,,18:06:00,LBS    ,2124.000,4700.000,-2576.000,Plus Materials                                    ,,-9.4900,-9.4800,0.0000,,,8,4,
16594,8/4/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,EXTRUDER (3RD SHIFT),Posted,8/5/2026 12:00:00 AM,5:55AM,,18:05:00,LBS    ,6838.000,6838.000,0.000,Plus Materials                                    ,,0.0000,0.0000,0.0000,,,0,0,
16600,8/4/2026 12:00:00 AM,PRN Southeast                                ,COMPLETED,BALER,Posted,8/5/2026 12:00:00 AM,5:56AM,,18:04:00,LBS    ,470.000,7000.000,-6530.000,Plus Materials                                    ,,-18.8000,4.6900,23.5000,,,1,4,
16601,8/5/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,AUTO-TIE BALER (1ST SHIFT),Posted,8/6/2026 12:00:00 AM,5:45AM,,18:15:00,LBS    ,2903.000,4124.000,-1221.000,Plus Materials                                    ,,125.8800,125.8800,0.0000,,,4,3,
16605,8/5/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,EXTRUDER (1ST SHIFT),Posted,8/6/2026 12:00:00 AM,5:46AM,,18:14:00,LBS    ,5500.000,5500.000,0.000,Plus Materials                                    ,,0.0000,0.0000,0.0000,,,51,0,
16606,8/5/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,GREEN MAX (NEW) (1ST SHIFT),Posted,8/6/2026 12:00:00 AM,5:46AM,,18:14:00,LBS    ,1801.000,1801.000,0.000,Plus Materials                                    ,,0.0000,0.0000,0.0000,,,26,0,
16607,8/5/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,GUILLOTINE (1ST SHIFT),Posted,8/6/2026 12:00:00 AM,5:46AM,,18:14:00,LBS    ,4824.000,4824.000,0.000,Plus Materials                                    ,,0.0000,0.0000,0.0000,,,0,0,
16608,8/5/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,SHREDDER (1ST SHIFT),Posted,8/6/2026 12:00:00 AM,5:47AM,,18:13:00,LBS    ,4947.000,6964.000,-2017.000,Plus Materials                                    ,,228.8900,228.8900,0.0000,,,0,0,
16609,8/5/2026 12:00:00 AM,Monroe Processing Warehouse                  ,COMPLETED,SHREDDER/GRINDER (1ST SHIFT),Posted,8/6/2026 12:00:00 AM,5:47AM,,18:13:00,LBS    ,4932.000,4932.000,0.000,Plus Materials                                    ,,514.9813,514.9700,0.0000,,,0,0,
16611,8/5/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,AUTO-TIE BALER (2ND SHIFT),Posted,8/6/2026 12:00:00 AM,5:47AM,,18:13:00,LBS    ,4097.000,5946.000,-1849.000,Plus Materials                                    ,,267.9500,267.9600,0.0000,,,0,0,
16615,8/5/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,EXTRUDER (2ND SHIFT),Posted,8/6/2026 12:00:00 AM,5:48AM,,18:12:00,LBS    ,3028.000,3028.000,0.000,Plus Materials                                    ,,0.0000,0.0000,0.0000,,,0,0,
16617,8/5/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,GUILLOTINE (2ND SHIFT),Posted,8/6/2026 12:00:00 AM,5:48AM,,18:12:00,LBS    ,1852.000,1852.000,0.000,Plus Materials                                    ,,-129.6400,-129.6400,0.0000,,,3,0,
16619,8/5/2026 12:00:00 AM,Monroe Processing Warehouse                  ,COMPLETED,SHREDDER/GRINDER (2ND SHIFT),Posted,8/6/2026 12:00:00 AM,5:48AM,,18:12:00,LBS    ,10787.000,10787.000,0.000,Plus Materials                                    ,,1126.3333,1126.3400,0.0000,,,0,0,
16621,8/5/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,AUTO-TIE BALER (3RD SHIFT),Posted,8/6/2026 12:00:00 AM,5:49AM,,18:11:00,LBS    ,5765.000,5765.000,0.000,Plus Materials                                    ,,0.0000,0.0000,0.0000,,,0,5,
16625,8/5/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,EXTRUDER (3RD SHIFT),Posted,8/6/2026 12:00:00 AM,5:49AM,,18:11:00,LBS    ,1526.000,1526.000,0.000,Plus Materials                                    ,,0.0000,0.0000,0.0000,,,0,0,
16627,8/5/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,GUILLOTINE (3RD SHIFT),Posted,8/6/2026 12:00:00 AM,5:50AM,,18:10:00,LBS    ,6104.000,6104.000,0.000,Plus Materials                                    ,,0.0000,0.0000,0.0000,,,0,0,
16631,8/5/2026 12:00:00 AM,PRN Southeast                                ,COMPLETED,BALER,Posted,8/6/2026 12:00:00 AM,5:50AM,,18:10:00,LBS    ,4620.000,3164.000,1456.000,Plus Materials                                    ,,193.0500,424.0500,231.0000,,,10,2,
16632,8/6/2026 12:00:00 AM,Plus Ryder Midwest                           ,COMPLETED,BOGUS,Posted,8/6/2026 12:00:00 AM,5:30AM,,18:30:00,LBS    ,4800.000,4800.000,0.000,Plus Materials                                    ,,0.0000,0.0000,0.0000,,,0,1,
